"abs(pv("M0" "cgs" ?result "dcOpInfo-info")) X","abs(pv("M0" "cgs" ?result "dcOpInfo-info")) Y"
"0","1.253624358733038e-15"
"0.04615385","1.475985564275806e-15"
"0.09230769","1.698914081600005e-15"
"0.1384615","1.89150555112311e-15"
"0.1846154","2.042781875327015e-15"
"0.2307692","2.172712369590676e-15"
"0.2769231","2.296222507412388e-15"
"0.3230769","2.418193742841402e-15"
"0.3692308","2.539883325648697e-15"
"0.4153846","2.661592579572459e-15"
"0.4615385","2.783380992001847e-15"
"0.5076923","2.905247981580303e-15"
"0.5538462","3.027180320544839e-15"
"0.6","3.149164414894747e-15"
"0.6461538","3.271189035087516e-15"
"0.6923077","3.393245476181663e-15"
"0.7384615","3.515327119156544e-15"
"0.7846154","3.637428942540533e-15"
"0.8307692","3.759547117485903e-15"
"0.8769231","3.881678700100785e-15"
"0.9230769","4.003821404893861e-15"
"0.9692307999999999","4.125973439537099e-15"
"1.015385","4.248133384309677e-15"
"1.061538","4.370300103683346e-15"
"1.107692","4.492472680985811e-15"
"1.153846","4.614650369694286e-15"
"1.2","4.736832556791836e-15"
"1.246154","4.859018734942945e-15"
"1.292308","4.981208481172774e-15"
"1.338462","5.103401440386094e-15"
"1.384615","5.225597312518558e-15"
"1.430769","5.347795842438996e-15"
"1.476923","5.469996811952272e-15"
"1.523077","5.592200033418967e-15"
"1.569231","5.714405344630033e-15"
"1.615385","5.836612604661755e-15"
"1.661538","5.958821690502891e-15"
"1.707692","6.081032494293694e-15"
"1.753846","6.20324492105266e-15"
"1.8","6.325458886795408e-15"
