abs(pv("M0" "cgd" ?result "dcOpInfo-info")) X,abs(pv("M0" "cgd" ?result "dcOpInfo-info")) Y
0,1.164645203819795e-15
0.04615385,1.063297284767766e-15
0.09230769,9.299533930025654e-16
0.1384615,8.038022365756185e-16
0.1846154,7.295346363446384e-16
0.2307692,6.97638348315988e-16
0.2769231,6.846065270276793e-16
0.3230769,6.788509636374423e-16
0.3692308,6.760391126690136e-16
0.4153846,6.745348985366224e-16
0.4615385,6.736673868597756e-16
0.5076923,6.731354660843715e-16
0.5538462,6.727925523993974e-16
0.6,6.725621356180347e-16
0.6461538,6.724018505344997e-16
0.6923077,6.722870324555424e-16
0.7384615,6.722026934693367e-16
0.7846154,6.721393839044343e-16
0.8307692,6.720909521918273e-16
0.8769231,6.720532801408417e-16
0.9230769,6.720235420089581e-16
0.9692307999999999,6.719997560205571e-16
1.015385,6.719805049094775e-16
1.061538,6.719647572083996e-16
1.107692,6.719517502709717e-16
1.153846,6.719409120743376e-16
1.2,6.719318079387017e-16
1.246154,6.719241035878829e-16
1.292308,6.719175391288545e-16
1.338462,6.719119104533998e-16
1.384615,6.719070557650173e-16
1.430769,6.719028456968112e-16
1.476923,6.718991759794411e-16
1.523077,6.718959619426763e-16
1.569231,6.718931343507737e-16
1.615385,6.718906362186832e-16
1.661538,6.718884203568332e-16
1.707692,6.718864474622741e-16
1.753846,6.718846846231918e-16
1.8,6.718831041387984e-16
