pv("M0" "cbd" ?result "dcOpInfo-info") X,pv("M0" "cbd" ?result "dcOpInfo-info") Y
0,-6.577477034142066e-16
0.04615385,-5.229303216600185e-16
0.09230769,-3.455504882650246e-16
0.1384615,-1.777387477452218e-16
0.1846154,-7.894479727110311e-17
0.2307692,-3.651503116237591e-17
0.2769231,-1.917960883178266e-17
0.3230769,-1.15233847746064e-17
0.3692308,-7.783016285377873e-18
0.4153846,-5.782123603862754e-18
0.4615385,-4.628200285969165e-18
0.5076923,-3.920694490605566e-18
0.5538462,-3.464613982715666e-18
0.6,-3.158181546706632e-18
0.6461538,-2.945041123762861e-18
0.6923077,-2.79238265596999e-18
0.7384615,-2.680268565994375e-18
0.7846154,-2.5961284876075e-18
0.8307692,-2.531779335592626e-18
0.8769231,-2.481742914066654e-18
0.9230769,-2.442260298540305e-18
0.9692307999999999,-2.410695246412331e-18
1.015385,-2.385162450379233e-18
1.061538,-2.364289809706519e-18
1.107692,-2.347062821112132e-18
1.153846,-2.332720557047558e-18
1.2,-2.320684789717642e-18
1.246154,-2.310510852604312e-18
1.292308,-2.301853026905167e-18
1.338462,-2.294439801197341e-18
1.384615,-2.288055948934938e-18
1.430769,-2.282529382830963e-18
1.476923,-2.277721401443311e-18
1.523077,-2.273519374899117e-18
1.569231,-2.269831204932555e-18
1.615385,-2.266581089660929e-18
1.661538,-2.263706257550816e-18
1.707692,-2.261154428173566e-18
1.753846,-2.258881822843278e-18
1.8,-2.256851594784346e-18
