value((IF(/M0/G) / (2 * pi * VF(/net02) * 1000000000)) Vds 0.0) X,value((IF(/M0/G) / (2 * pi * VF(/net02) * 1000000000)) Vds 0.0) YRe,value((IF(/M0/G) / (2 * pi * VF(/net02) * 1000000000)) Vds 0.0) YReImag
0,0,2.500110152030083e-15
0.036,0,2.488531472329909e-15
0.07200000000000001,0,2.465373621984377e-15
0.108,0,2.4316206663607e-15
0.144,0,2.397171637159114e-15
0.18,0,2.372378698922629e-15
0.216,0,2.358059556416949e-15
0.252,0,2.350336175222802e-15
0.288,0,2.346089397517889e-15
0.3240000000000001,0,2.343633313845731e-15
0.3600000000000001,0,2.342132108802972e-15
0.3960000000000001,0,2.341166630193706e-15
0.4320000000000002,0,2.340517585145048e-15
0.4680000000000002,0,2.340064449866154e-15
0.5040000000000002,0,2.339737745805602e-15
0.5400000000000003,0,2.339495639380538e-15
0.5760000000000003,0,2.33931194694836e-15
0.6120000000000003,0,2.339169709283772e-15
0.6480000000000004,0,2.339057604854468e-15
0.6840000000000004,0,2.338967871037811e-15
0.7200000000000004,0,2.338895057681514e-15
0.7560000000000004,0,2.338835256519219e-15
0.7920000000000005,0,2.338785611461129e-15
0.8280000000000005,0,2.33874399954534e-15
0.8640000000000005,0,2.338708818346012e-15
0.9000000000000006,0,2.338678841395195e-15
0.9360000000000006,0,2.33865311801452e-15
0.9720000000000006,0,2.33863090272747e-15
1.008000000000001,0,2.338611604737345e-15
1.044000000000001,0,2.33859475124654e-15
1.080000000000001,0,2.338579960472092e-15
1.116000000000001,0,2.338566921551302e-15
1.152000000000001,0,2.338555379408488e-15
1.188000000000001,0,2.338545123237982e-15
1.224000000000001,0,2.338535977653356e-15
1.260000000000001,0,2.338527795823427e-15
1.296000000000001,0,2.33852045410357e-15
1.332000000000001,0,2.338513847802962e-15
1.368000000000001,0,2.338507887822325e-15
1.404000000000001,0,2.338502497964281e-15
1.440000000000001,0,2.338497612767422e-15
1.476000000000001,0,2.33849317575119e-15
1.512000000000001,0,2.338489137985183e-15
1.548000000000001,0,2.33848545691639e-15
1.584000000000001,0,2.338482095402724e-15
1.620000000000001,0,2.338479020912549e-15
1.656000000000001,0,2.338476204858504e-15
1.692000000000001,0,2.338473622040565e-15
1.728000000000001,0,2.338471250178413e-15
1.764000000000001,0,2.338469069517141e-15
1.8,0,2.338467062493514e-15
