(imag(IF("/M0/G")) / (2 * pi * VF("/net05") * 1000000000)) X,(imag(IF("/M0/G")) / (2 * pi * VF("/net05") * 1000000000)) YRe,(imag(IF("/M0/G")) / (2 * pi * VF("/net05") * 1000000000)) YReImag
0,-1.253624358733038e-15,0
0.036,-1.426206234721726e-15,0
0.07200000000000001,-1.602556341525129e-15,0
0.108,-1.769286625450578e-15,0
0.144,-1.911576307236537e-15,0
0.18,-2.028983594941092e-15,0
0.216,-2.132271810170477e-15,0
0.252,-2.229887491018139e-15,0
0.288,-2.325559537870262e-15,0
0.3240000000000001,-2.420628514477845e-15,0
0.3600000000000001,-2.515547975686306e-15,0
0.3960000000000001,-2.610466156772489e-15,0
0.4320000000000002,-2.705426776499336e-15,0
0.4680000000000002,-2.800437900425451e-15,0
0.5040000000000002,-2.895496026281097e-15,0
0.5400000000000003,-2.990594604026264e-15,0
0.5760000000000003,-3.085726980637915e-15,0
0.6120000000000003,-3.180887310863374e-15,0
0.6480000000000004,-3.276070731944948e-15,0
0.6840000000000004,-3.371273288489789e-15,0
0.7200000000000004,-3.466491789709109e-15,0
0.7560000000000004,-3.561723664809097e-15,0
0.7920000000000005,-3.656966837433162e-15,0
0.8280000000000005,-3.752219623124957e-15,0
0.8640000000000005,-3.847480647875291e-15,0
0.9000000000000006,-3.942748784207921e-15,0
0.9360000000000006,-4.038023101245519e-15,0
0.9720000000000006,-4.1333028256962e-15,0
1.008000000000001,-4.228587311293964e-15,0
1.044000000000001,-4.323876014764096e-15,0
1.080000000000001,-4.419168476827772e-15,0
1.116000000000001,-4.514464307108736e-15,0
1.152000000000001,-4.609763172073496e-15,0
1.188000000000001,-4.705064785340867e-15,0
1.224000000000001,-4.8003688998516e-15,0
1.260000000000001,-4.895675301506146e-15,0
1.296000000000001,-4.990983803967421e-15,0
1.332000000000001,-5.086294244393068e-15,0
1.368000000000001,-5.181606479913318e-15,0
1.404000000000001,-5.276920384710032e-15,0
1.440000000000001,-5.372235847582925e-15,0
1.476000000000001,-5.467552769912646e-15,0
1.512000000000001,-5.562871063948564e-15,0
1.548000000000001,-5.658190651363584e-15,0
1.584000000000001,-5.753511462029405e-15,0
1.620000000000001,-5.848833432974689e-15,0
1.656000000000001,-5.944156507495521e-15,0
1.692000000000001,-6.039480634393228e-15,0
1.728000000000001,-6.134805767319111e-15,0
1.764000000000001,-6.230131864209242e-15,0
1.8,-6.325458886795409e-15,0
